Sales Person,Geo,Product,Date,Amount,Boxes
SP08,G2,P12,12-07-2022,4669,390
SP01,G3,P19,12-07-2022,490,35
SP08,G5,P19,12-07-2022,4235,283
SP13,G2,P07,12-07-2022,4487,187
SP02,G3,P15,12-07-2022,2653,332
SP04,G4,P10,12-07-2022,5306,253
SP16,G2,P02,12-07-2022,6888,689
SP08,G4,P16,12-07-2022,721,24
SP14,G1,P10,12-07-2022,8610,345
SP10,G2,P12,12-07-2022,11739,903
SP16,G1,P09,13-07-2022,4774,341
SP10,G3,P02,13-07-2022,6307,789
SP21,G3,P08,13-07-2022,4340,217
SP09,G1,P19,13-07-2022,1078,77
SP13,G6,P03,13-07-2022,5418,247
SP03,G2,P21,13-07-2022,6069,434
SP15,G2,P21,13-07-2022,12334,686
SP08,G6,P07,13-07-2022,728,32
SP21,G1,P15,13-07-2022,2135,165
SP07,G4,P13,13-07-2022,2121,89
SP12,G6,P01,14-07-2022,6881,222
SP24,G4,P07,14-07-2022,1239,50
SP16,G5,P05,14-07-2022,3598,257
SP18,G3,P20,14-07-2022,6580,347
SP08,G6,P10,14-07-2022,1127,54
SP22,G1,P22,14-07-2022,3605,139
SP09,G4,P11,14-07-2022,5096,196
SP25,G2,P08,14-07-2022,2135,98
SP13,G2,P04,14-07-2022,35,3
SP11,G1,P19,14-07-2022,13090,935
SP05,G6,P20,14-07-2022,15785,1128
SP20,G5,P12,14-07-2022,14574,810
SP11,G4,P17,14-07-2022,3556,143
SP02,G2,P12,14-07-2022,14532,969
SP23,G4,P17,14-07-2022,4445,159
SP17,G2,P01,14-07-2022,10339,357
SP03,G4,P11,14-07-2022,1351,55
SP02,G4,P15,14-07-2022,4011,335
SP17,G6,P12,14-07-2022,5306,483
SP24,G2,P11,14-07-2022,18704,585
SP21,G3,P20,14-07-2022,9310,582
SP04,G4,P06,14-07-2022,1211,61
SP09,G3,P04,15-07-2022,3094,148
SP17,G4,P04,15-07-2022,4949,248
SP06,G4,P08,15-07-2022,308,19
SP11,G1,P17,15-07-2022,7546,329
SP12,G2,P13,15-07-2022,6713,373
SP14,G4,P17,15-07-2022,6895,300
SP02,G4,P05,15-07-2022,3430,202
SP21,G4,P14,18-07-2022,4165,348
SP25,G1,P03,18-07-2022,2380,159
SP03,G6,P14,18-07-2022,6594,413
SP04,G5,P04,18-07-2022,1428,76
SP19,G5,P07,18-07-2022,2646,116
SP10,G1,P01,18-07-2022,238,11
SP24,G5,P04,18-07-2022,945,50
SP11,G6,P10,18-07-2022,9436,337
SP17,G2,P10,18-07-2022,4081,152
SP04,G2,P08,18-07-2022,10556,587
SP01,G2,P14,18-07-2022,2331,167
SP11,G3,P16,19-07-2022,896,32
SP20,G1,P18,19-07-2022,4214,169
SP20,G3,P09,19-07-2022,2121,177
SP23,G1,P13,19-07-2022,1029,47
SP08,G1,P05,19-07-2022,15407,771
SP03,G4,P17,19-07-2022,10129,406
SP13,G2,P20,19-07-2022,16380,1092
SP24,G1,P14,19-07-2022,3899,279
SP05,G3,P10,19-07-2022,12075,432
SP11,G2,P18,19-07-2022,10696,428
SP19,G2,P03,19-07-2022,4039,238
SP18,G1,P22,19-07-2022,5250,202
SP21,G1,P08,19-07-2022,8113,508
SP08,G6,P06,19-07-2022,161,10
SP07,G6,P10,19-07-2022,8218,294
SP06,G5,P15,19-07-2022,742,53
SP03,G2,P11,19-07-2022,3087,111
SP08,G1,P18,19-07-2022,5110,155
SP04,G4,P04,19-07-2022,5873,267
SP11,G6,P05,19-07-2022,4641,357
SP04,G4,P22,20-07-2022,1155,45
SP10,G6,P02,20-07-2022,784,49
SP25,G4,P05,20-07-2022,5369,384
SP10,G3,P06,20-07-2022,343,18
SP10,G6,P19,20-07-2022,7007,584
SP15,G1,P15,20-07-2022,126,13
SP16,G1,P08,20-07-2022,3073,134
SP19,G4,P21,21-07-2022,7805,488
SP09,G6,P11,21-07-2022,3087,124
SP13,G4,P21,21-07-2022,9030,452
SP04,G2,P20,21-07-2022,7805,411
SP18,G1,P11,21-07-2022,6979,233
SP19,G1,P07,21-07-2022,11284,513
SP17,G5,P01,21-07-2022,2408,90
SP03,G6,P02,21-07-2022,5299,332
SP10,G6,P16,21-07-2022,6293,234
SP08,G5,P03,21-07-2022,280,17
SP05,G1,P13,21-07-2022,644,30
SP07,G5,P21,21-07-2022,2191,110
SP16,G4,P21,21-07-2022,427,26
SP14,G3,P20,21-07-2022,5537,426
SP18,G5,P08,21-07-2022,742,31
SP23,G3,P13,21-07-2022,4200,248
SP08,G6,P15,21-07-2022,5299,442
SP08,G2,P17,21-07-2022,3829,160
SP20,G4,P18,21-07-2022,5747,192
SP06,G4,P13,21-07-2022,2345,147
SP12,G4,P09,22-07-2022,4312,616
SP25,G4,P13,22-07-2022,1358,68
SP01,G2,P09,22-07-2022,13146,1644
SP05,G5,P14,22-07-2022,12047,927
SP08,G3,P20,22-07-2022,5971,460
SP16,G4,P02,22-07-2022,3038,254
SP20,G6,P16,22-07-2022,8022,268
SP16,G3,P15,22-07-2022,2226,248
SP10,G3,P17,22-07-2022,2366,79
SP24,G5,P02,22-07-2022,8386,599
SP03,G3,P16,22-07-2022,13230,576
SP17,G6,P03,22-07-2022,1771,111
SP13,G6,P04,22-07-2022,3416,228
SP17,G6,P13,22-07-2022,15197,634
SP08,G4,P15,22-07-2022,5971,498
SP02,G6,P09,22-07-2022,13335,1667
SP23,G3,P21,22-07-2022,4613,210
SP12,G1,P12,22-07-2022,10430,580
SP20,G2,P03,22-07-2022,168,10
SP25,G6,P08,22-07-2022,4606,192
SP11,G6,P14,22-07-2022,1491,136
SP02,G1,P08,25-07-2022,12194,509
SP12,G6,P04,25-07-2022,10122,533
SP09,G5,P08,25-07-2022,1841,88
SP16,G6,P09,25-07-2022,6958,580
SP07,G1,P08,25-07-2022,749,35
SP16,G6,P04,25-07-2022,3507,195
SP17,G4,P15,25-07-2022,7294,562
SP10,G1,P12,25-07-2022,5040,420
SP10,G1,P16,25-07-2022,3913,157
SP09,G2,P02,25-07-2022,3598,300
SP19,G2,P10,25-07-2022,8911,319
SP08,G4,P22,25-07-2022,42,2
SP13,G1,P21,25-07-2022,2282,109
SP23,G3,P08,25-07-2022,12964,541
SP09,G3,P20,25-07-2022,5775,361
SP16,G4,P10,25-07-2022,10787,400
SP20,G5,P21,25-07-2022,6342,374
SP14,G1,P22,25-07-2022,11564,463
SP03,G2,P04,25-07-2022,2793,156
SP18,G3,P19,25-07-2022,1603,134
SP06,G5,P03,25-07-2022,3052,180
SP12,G3,P21,25-07-2022,1659,83
SP01,G4,P05,25-07-2022,3143,210
SP02,G2,P21,25-07-2022,12782,609
SP21,G4,P19,25-07-2022,343,32
SP10,G4,P14,25-07-2022,1785,138
SP10,G3,P09,25-07-2022,4914,615
SP18,G6,P14,26-07-2022,1869,208
SP04,G1,P10,26-07-2022,8512,387
SP23,G6,P09,26-07-2022,9296,716
SP20,G5,P07,26-07-2022,6034,263
SP22,G1,P11,26-07-2022,9471,365
SP15,G1,P22,26-07-2022,3815,166
SP01,G4,P06,26-07-2022,9485,527
SP16,G2,P16,26-07-2022,3549,132
SP04,G6,P09,26-07-2022,1512,117
SP13,G3,P16,26-07-2022,2296,96
SP11,G1,P01,27-07-2022,17402,697
SP15,G6,P12,27-07-2022,11816,844
SP17,G4,P16,27-07-2022,10612,425
SP01,G2,P01,27-07-2022,5558,192
SP21,G6,P04,27-07-2022,14056,781
SP09,G2,P16,27-07-2022,5131,166
SP16,G2,P08,27-07-2022,1477,87
SP06,G5,P04,27-07-2022,7686,549
SP23,G6,P13,27-07-2022,8722,460
SP08,G6,P16,27-07-2022,6370,206
SP03,G6,P13,27-07-2022,4074,240
SP24,G4,P11,27-07-2022,1309,51
SP07,G5,P20,27-07-2022,4991,357
SP04,G3,P22,27-07-2022,6965,367
SP15,G5,P18,27-07-2022,10199,408
SP12,G4,P21,27-07-2022,7392,390
SP01,G4,P12,27-07-2022,5880,392
SP04,G2,P11,27-07-2022,5950,238
SP14,G2,P16,27-07-2022,10395,336
SP22,G1,P07,27-07-2022,6174,247
SP04,G4,P19,27-07-2022,15239,1524
SP21,G3,P09,27-07-2022,2219,247
SP17,G4,P19,27-07-2022,3150,243
SP17,G6,P15,27-07-2022,2968,212
SP02,G3,P05,27-07-2022,3241,163
SP15,G3,P07,27-07-2022,3605,151
SP20,G3,P08,28-07-2022,3640,174
SP11,G3,P08,28-07-2022,1309,77
SP13,G1,P06,28-07-2022,10346,739
SP15,G3,P04,28-07-2022,1071,54
SP11,G6,P19,28-07-2022,6328,791
SP07,G3,P11,28-07-2022,1820,68
SP09,G1,P21,28-07-2022,3437,157
SP17,G6,P14,28-07-2022,4550,455
SP01,G3,P07,28-07-2022,2968,110
SP14,G2,P06,28-07-2022,12565,898
SP17,G3,P01,28-07-2022,8246,318
SP09,G1,P05,28-07-2022,1190,70
SP24,G4,P06,28-07-2022,3283,183
SP08,G5,P18,28-07-2022,3087,115
SP20,G1,P21,28-07-2022,6531,297
SP16,G2,P14,28-07-2022,4228,249
SP24,G2,P17,28-07-2022,10094,389
SP21,G4,P01,28-07-2022,182,6
SP22,G4,P14,28-07-2022,616,37
SP24,G2,P20,29-07-2022,12131,809
SP07,G2,P07,29-07-2022,2394,93
SP12,G1,P14,29-07-2022,14287,841
SP11,G4,P03,29-07-2022,10941,730
SP24,G6,P07,29-07-2022,7777,260
SP06,G3,P09,29-07-2022,9436,858
SP07,G3,P12,29-07-2022,1267,116
SP07,G2,P11,29-07-2022,8806,327
SP06,G6,P21,29-07-2022,3640,243
SP07,G6,P17,29-07-2022,4900,182
SP18,G5,P14,29-07-2022,5558,348
SP25,G4,P03,29-07-2022,9142,436
SP02,G6,P05,29-07-2022,3514,235
SP19,G3,P02,29-07-2022,140,10
SP15,G6,P10,01-08-2022,11844,439
SP03,G4,P01,01-08-2022,6517,233
SP07,G1,P01,01-08-2022,8715,282
SP05,G1,P16,01-08-2022,4851,180
SP01,G2,P16,01-08-2022,10983,379
SP21,G5,P15,01-08-2022,3290,329
SP11,G5,P16,01-08-2022,6545,212
SP03,G3,P19,01-08-2022,441,45
SP14,G1,P21,01-08-2022,9849,580
SP09,G4,P14,01-08-2022,3073,308
SP17,G2,P16,01-08-2022,4452,149
SP12,G3,P13,01-08-2022,10220,538
SP09,G6,P19,01-08-2022,3150,210
SP07,G2,P20,01-08-2022,6083,381
SP08,G6,P12,01-08-2022,14063,1407
SP07,G6,P19,01-08-2022,4578,306
SP19,G1,P14,01-08-2022,6454,461
SP15,G2,P18,02-08-2022,6650,256
SP01,G1,P22,02-08-2022,2436,94
SP21,G4,P21,02-08-2022,6944,331
SP05,G1,P11,02-08-2022,19817,684
SP01,G1,P02,02-08-2022,3521,235
SP12,G2,P11,02-08-2022,10458,327
SP24,G4,P08,02-08-2022,1302,57
SP10,G5,P11,02-08-2022,7952,249
SP13,G5,P06,02-08-2022,4753,265
SP11,G1,P13,02-08-2022,11452,546
SP03,G1,P10,02-08-2022,9345,390
SP16,G1,P05,02-08-2022,7490,357
SP25,G1,P16,02-08-2022,1519,57
SP09,G6,P20,02-08-2022,3087,155
SP06,G6,P20,02-08-2022,2352,168
SP17,G3,P15,02-08-2022,11578,891
SP11,G2,P22,02-08-2022,462,22
SP24,G1,P17,03-08-2022,6916,315
SP11,G1,P09,03-08-2022,3248,542
SP25,G3,P01,03-08-2022,6475,240
SP23,G6,P22,03-08-2022,9009,501
SP17,G3,P14,03-08-2022,2835,189
SP14,G1,P01,03-08-2022,7644,294
SP19,G6,P19,03-08-2022,3360,240
SP19,G2,P05,03-08-2022,1379,99
SP22,G2,P16,03-08-2022,9534,382
SP17,G2,P22,03-08-2022,14448,657
SP24,G2,P15,03-08-2022,3829,240
SP03,G4,P09,04-08-2022,9086,758
SP15,G3,P01,04-08-2022,5803,194
SP25,G6,P18,04-08-2022,182,7
SP18,G6,P13,04-08-2022,9863,520
SP06,G4,P09,04-08-2022,4046,289
SP09,G6,P12,04-08-2022,3493,350
SP13,G3,P03,04-08-2022,392,18
SP05,G1,P10,04-08-2022,2534,111
SP22,G6,P13,04-08-2022,7084,308
SP05,G6,P09,04-08-2022,4809,344
SP16,G3,P07,04-08-2022,7959,266
SP15,G3,P08,04-08-2022,10521,527
SP15,G3,P12,04-08-2022,56,5
SP19,G6,P15,04-08-2022,3017,189
SP12,G1,P09,04-08-2022,18949,2707
SP24,G6,P01,04-08-2022,8764,338
SP14,G1,P04,04-08-2022,12201,643
SP20,G2,P10,04-08-2022,11935,460
SP01,G2,P20,04-08-2022,3724,266
SP23,G3,P06,04-08-2022,2646,166
SP03,G1,P14,04-08-2022,686,46
SP12,G5,P20,04-08-2022,2037,128
SP23,G1,P21,04-08-2022,6300,300
SP11,G3,P22,04-08-2022,2541,111
SP04,G1,P04,04-08-2022,1883,118
SP08,G1,P10,04-08-2022,10255,446
SP22,G6,P11,05-08-2022,5803,233
SP09,G1,P02,05-08-2022,8260,1033
SP24,G1,P15,05-08-2022,14868,1859
SP03,G2,P06,05-08-2022,4137,276
SP10,G6,P11,05-08-2022,7161,276
SP24,G2,P07,05-08-2022,9625,332
SP19,G3,P16,05-08-2022,12852,429
SP18,G3,P06,05-08-2022,7546,581
SP19,G2,P06,05-08-2022,4123,275
SP21,G1,P16,05-08-2022,13174,573
SP17,G2,P02,05-08-2022,7637,546
SP18,G2,P15,05-08-2022,3311,332
SP21,G1,P04,05-08-2022,2338,107
SP06,G1,P17,08-08-2022,3465,139
SP17,G5,P22,08-08-2022,2345,107
SP18,G3,P16,08-08-2022,12698,471
SP01,G4,P13,08-08-2022,6678,334
SP12,G3,P15,08-08-2022,4851,324
SP08,G4,P07,08-08-2022,336,12
SP12,G3,P09,08-08-2022,2366,198
SP08,G2,P08,08-08-2022,10598,461
SP01,G1,P20,08-08-2022,13293,665
SP23,G5,P02,08-08-2022,2086,261
SP04,G5,P22,08-08-2022,2751,120
SP02,G3,P10,08-08-2022,5481,275
SP09,G2,P20,08-08-2022,5628,433
SP22,G2,P17,08-08-2022,2660,89
SP20,G1,P03,09-08-2022,1386,82
SP17,G6,P01,09-08-2022,11060,382
SP16,G5,P21,09-08-2022,2919,172
SP25,G3,P08,09-08-2022,8680,457
SP09,G2,P10,09-08-2022,1484,71
SP17,G3,P21,09-08-2022,16919,996
SP21,G5,P11,09-08-2022,13188,440
SP11,G5,P04,09-08-2022,4998,294
SP14,G6,P13,09-08-2022,6146,342
SP19,G1,P01,09-08-2022,5621,217
SP18,G6,P05,09-08-2022,980,47
SP13,G2,P03,10-08-2022,7343,350
SP01,G3,P17,10-08-2022,1750,63
SP05,G1,P06,10-08-2022,2464,165
SP09,G2,P01,10-08-2022,1974,86
SP22,G5,P19,10-08-2022,11823,986
SP15,G4,P13,10-08-2022,7350,335
SP15,G3,P15,10-08-2022,4165,417
SP03,G1,P13,10-08-2022,630,28
SP09,G3,P15,10-08-2022,2282,143
SP17,G3,P12,10-08-2022,5250,292
SP06,G3,P03,10-08-2022,11676,730
SP17,G5,P17,10-08-2022,14917,533
SP22,G3,P18,11-08-2022,4634,155
SP05,G2,P18,11-08-2022,819,27
SP10,G1,P07,11-08-2022,2422,106
SP13,G3,P18,11-08-2022,1463,59
SP15,G3,P18,11-08-2022,1050,32
SP20,G6,P22,11-08-2022,1526,85
SP03,G4,P02,11-08-2022,427,27
SP06,G2,P10,11-08-2022,10976,440
SP04,G4,P05,12-08-2022,6503,407
SP13,G6,P08,12-08-2022,21,1
SP05,G6,P06,12-08-2022,7063,393
SP24,G3,P22,12-08-2022,3990,200
SP14,G4,P19,12-08-2022,1806,129
SP16,G1,P14,12-08-2022,10136,597
SP12,G6,P03,12-08-2022,1288,62
SP20,G3,P14,12-08-2022,1295,87
SP09,G2,P19,12-08-2022,6461,718
SP22,G4,P18,12-08-2022,4949,155
SP18,G4,P12,12-08-2022,5432,302
SP15,G3,P17,12-08-2022,7112,246
SP12,G6,P22,12-08-2022,266,11
SP05,G2,P02,12-08-2022,6202,414
SP22,G4,P11,15-08-2022,1057,43
SP15,G6,P07,15-08-2022,1925,67
SP04,G1,P13,15-08-2022,1841,77
SP07,G3,P10,15-08-2022,1204,61
SP04,G4,P13,15-08-2022,4074,186
SP16,G2,P18,15-08-2022,4473,150
SP16,G6,P15,15-08-2022,2947,246
SP23,G2,P16,15-08-2022,15386,642
SP04,G6,P01,15-08-2022,4690,188
SP24,G2,P14,15-08-2022,343,39
SP14,G3,P05,15-08-2022,3052,146
SP19,G5,P18,15-08-2022,686,25
SP04,G3,P14,15-08-2022,6993,538
SP21,G6,P01,16-08-2022,5236,169
SP06,G1,P10,16-08-2022,8638,333
SP07,G4,P18,16-08-2022,5712,191
SP03,G2,P05,16-08-2022,6258,330
SP04,G2,P19,16-08-2022,3234,294
SP15,G1,P16,16-08-2022,17577,677
SP11,G2,P06,16-08-2022,12684,668
SP05,G1,P08,16-08-2022,1239,54
SP15,G6,P02,16-08-2022,3402,243
SP12,G1,P21,16-08-2022,11382,633
SP18,G1,P01,16-08-2022,7133,265
SP22,G1,P01,17-08-2022,8309,333
SP23,G4,P12,17-08-2022,1435,131
SP02,G3,P06,17-08-2022,3227,216
SP25,G4,P07,17-08-2022,133,6
SP05,G5,P08,17-08-2022,5446,273
SP12,G1,P08,17-08-2022,4424,261
SP22,G6,P01,17-08-2022,1827,80
SP04,G4,P18,17-08-2022,8232,305
SP07,G5,P02,17-08-2022,861,62
SP01,G4,P19,17-08-2022,8099,675
SP17,G5,P20,17-08-2022,5894,281
SP25,G2,P11,17-08-2022,8211,257
SP07,G1,P11,17-08-2022,10360,415
SP14,G6,P01,17-08-2022,5145,166
SP08,G6,P02,17-08-2022,9163,1146
SP17,G1,P14,17-08-2022,15323,1393
SP16,G3,P09,17-08-2022,7994,1000
SP13,G3,P21,17-08-2022,6363,455
SP20,G4,P22,17-08-2022,3262,172
SP05,G5,P07,17-08-2022,2793,127
SP17,G1,P16,18-08-2022,8491,340
SP02,G5,P17,18-08-2022,13685,571
SP21,G3,P14,18-08-2022,770,52
SP25,G3,P02,18-08-2022,8631,1079
SP22,G4,P12,18-08-2022,4536,267
SP17,G6,P08,18-08-2022,14497,605
SP17,G5,P21,18-08-2022,7672,452
SP03,G5,P08,18-08-2022,10878,573
SP02,G5,P02,18-08-2022,12572,1397
SP19,G5,P02,18-08-2022,1575,105
SP02,G3,P18,18-08-2022,5453,166
SP19,G4,P18,18-08-2022,4802,155
SP16,G1,P06,19-08-2022,7651,426
SP18,G1,P09,19-08-2022,2079,260
SP02,G4,P10,19-08-2022,2100,81
SP25,G5,P20,19-08-2022,5278,406
SP01,G2,P10,19-08-2022,4249,164
SP12,G2,P05,19-08-2022,3976,210
SP20,G2,P11,19-08-2022,6951,218
SP25,G6,P10,19-08-2022,616,25
SP09,G6,P13,19-08-2022,5439,287
SP10,G1,P02,19-08-2022,63,7
SP10,G3,P15,19-08-2022,1533,110
SP20,G2,P19,19-08-2022,3535,322
SP13,G3,P10,19-08-2022,2429,111
SP03,G1,P04,19-08-2022,7119,356
SP02,G4,P07,19-08-2022,3521,118
SP08,G2,P11,19-08-2022,3745,118
SP16,G5,P14,19-08-2022,4816,301
SP02,G6,P15,19-08-2022,1736,193
SP17,G5,P19,19-08-2022,1099,92
SP14,G6,P11,19-08-2022,6692,231
SP02,G5,P15,22-08-2022,364,31
SP08,G3,P13,22-08-2022,10927,476
SP12,G4,P13,22-08-2022,11410,476
SP24,G1,P16,22-08-2022,2443,82
SP14,G3,P14,22-08-2022,329,26
SP04,G4,P07,22-08-2022,3066,128
SP19,G4,P15,22-08-2022,567,38
SP14,G4,P20,22-08-2022,14721,1052
SP09,G4,P21,22-08-2022,6986,350
SP06,G2,P13,22-08-2022,14112,784
SP08,G6,P20,22-08-2022,1771,137
SP15,G5,P22,22-08-2022,5082,231
SP12,G3,P03,22-08-2022,1827,102
SP18,G1,P07,22-08-2022,182,7
SP08,G4,P21,22-08-2022,5369,269
SP06,G2,P07,22-08-2022,6034,275
SP09,G3,P05,22-08-2022,13209,881
SP12,G5,P17,22-08-2022,847,30
SP22,G3,P02,22-08-2022,1015,64
SP14,G3,P02,23-08-2022,16247,2031
SP21,G3,P15,23-08-2022,2422,303
SP10,G3,P22,23-08-2022,3997,174
SP24,G2,P03,23-08-2022,7182,479
SP21,G1,P05,23-08-2022,1246,70
SP24,G6,P06,23-08-2022,553,27
SP23,G2,P12,23-08-2022,2681,207
SP20,G5,P15,23-08-2022,2800,234
SP23,G6,P04,23-08-2022,4851,304
SP05,G3,P17,23-08-2022,168,6
SP11,G5,P12,23-08-2022,315,21
SP04,G3,P06,23-08-2022,11851,741
SP14,G4,P07,23-08-2022,3220,147
SP05,G6,P19,23-08-2022,11935,1194
SP03,G3,P22,23-08-2022,12404,478
SP22,G5,P12,24-08-2022,1519,90
SP22,G1,P17,24-08-2022,10934,476
SP25,G6,P22,24-08-2022,3346,129
SP24,G3,P10,24-08-2022,8351,398
SP12,G6,P14,24-08-2022,11718,733
SP17,G3,P10,24-08-2022,2681,117
SP22,G1,P02,24-08-2022,6188,563
SP11,G5,P08,24-08-2022,10941,521
SP11,G3,P01,24-08-2022,3647,141
SP23,G3,P22,25-08-2022,2436,122
SP11,G3,P17,25-08-2022,896,41
SP04,G2,P17,25-08-2022,3808,174
SP04,G3,P05,25-08-2022,10920,683
SP13,G4,P12,25-08-2022,4186,299
SP24,G3,P13,25-08-2022,6797,309
SP24,G5,P10,25-08-2022,4319,155
SP16,G3,P20,25-08-2022,1673,105
SP20,G4,P03,25-08-2022,735,35
SP20,G5,P11,25-08-2022,2632,106
SP04,G4,P09,25-08-2022,2030,170
SP03,G2,P18,25-08-2022,1169,47
SP09,G4,P05,25-08-2022,3703,206
SP01,G6,P14,25-08-2022,805,54
SP23,G6,P20,25-08-2022,406,21
SP20,G5,P09,25-08-2022,3591,360
SP20,G6,P14,25-08-2022,5551,463
SP24,G5,P14,25-08-2022,3605,258
SP09,G3,P03,25-08-2022,6356,374
SP24,G5,P19,25-08-2022,602,41
SP23,G1,P14,26-08-2022,7042,470
SP22,G5,P03,26-08-2022,2968,142
SP10,G1,P22,26-08-2022,294,17
SP05,G4,P11,26-08-2022,6363,213
SP09,G2,P12,26-08-2022,280,18
SP11,G3,P21,26-08-2022,406,29
SP18,G4,P07,26-08-2022,4144,139
SP08,G4,P01,26-08-2022,5341,173
SP17,G5,P12,26-08-2022,2947,197
SP02,G4,P19,26-08-2022,12026,926
SP10,G4,P20,26-08-2022,3983,307
SP04,G1,P14,26-08-2022,1792,163
SP01,G6,P01,26-08-2022,1526,67
SP20,G2,P16,26-08-2022,5313,190
SP08,G6,P11,26-08-2022,7728,242
SP16,G3,P13,26-08-2022,413,22
SP21,G1,P14,26-08-2022,4431,493
SP03,G2,P12,26-08-2022,1036,58
SP21,G2,P09,26-08-2022,217,25
SP15,G1,P19,26-08-2022,7616,693
SP12,G6,P16,26-08-2022,11900,518
SP25,G4,P19,26-08-2022,10437,1044
SP18,G1,P12,01-09-2022,5691,335
SP22,G5,P04,01-09-2022,5397,300
SP08,G2,P16,01-09-2022,3276,143
SP09,G4,P07,01-09-2022,4102,187
SP02,G5,P18,01-09-2022,476,18
SP14,G3,P16,01-09-2022,4858,157
SP09,G3,P08,01-09-2022,7259,404
SP08,G1,P03,02-09-2022,6209,311
SP09,G4,P16,02-09-2022,12390,539
SP20,G6,P21,02-09-2022,686,41
SP18,G4,P01,02-09-2022,9030,312
SP14,G3,P03,02-09-2022,5376,256
SP24,G5,P17,02-09-2022,2898,126
SP01,G2,P03,02-09-2022,18900,945
SP18,G2,P11,02-09-2022,5082,182
SP16,G5,P04,02-09-2022,2016,107
SP10,G2,P20,02-09-2022,847,50
SP10,G4,P15,03-09-2022,4200,350
SP03,G4,P22,03-09-2022,17577,977
SP09,G1,P09,03-09-2022,861,96
SP03,G3,P07,03-09-2022,3829,142
SP01,G6,P18,03-09-2022,1155,37
SP19,G5,P15,03-09-2022,11123,1391
SP22,G4,P15,03-09-2022,8505,532
SP05,G2,P07,03-09-2022,4130,138
SP14,G5,P01,03-09-2022,420,15
SP07,G5,P06,03-09-2022,994,63
SP13,G6,P05,03-09-2022,3689,176
SP16,G2,P06,03-09-2022,13195,880
